date,Metropolitan Train,Metropolitan Tram,Metropolitan Bus
1/1/18,16809932,15231368,7568547
2/1/18,19554477,16980925,10487311
3/1/18,22659010,19832126,11528895
4/1/18,20312040,16919872,9592750
5/1/18,22768447,17691427,11263486
6/1/18,19284755,15836171,9526795
7/1/18,20732099,17169239,9657327
8/1/18,22566766,18415592,11756706
9/1/18,20056487,15892774,9878596
10/1/18,22299761,18677490,11233979
11/1/18,20806123,17398998,10367915
12/1/18,16665365,15404107,7941245
1/1/19,17074623,15695535,7845144
2/1/19,20011823,16485000,10105546
3/1/19,22250796,19456794,11775566
4/1/19,18579825,17400302,9667587
5/1/19,23045436,18410816,12082141
6/1/19,19099513,15041547,9515676
7/1/19,20771347,16784796,10417277
8/1/19,22618021,17578879,11485155
9/1/19,20593343,15733247,10238956
10/1/19,22429337,16917616,11294945
11/1/19,20413342,15344062,10405336
12/1/19,17890229,13736921,8858522
1/1/20,17015987,13396238,8369145
2/1/20,19811543,14656787,10407862
3/1/20,13746958,9602985,7600641
4/1/20,2165747,1376119,1507175
5/1/20,3670296,2587250,2539068
6/1/20,6432121,4080847,4752862
7/1/20,3963903,2505061,3170618
8/1/20,1887499,1224017,1793958
9/1/20,1931257,1245928,2038847
10/1/20,3388960,2130346,3769166
11/1/20,6439402,4511166,5795635
12/1/20,7868276,5995164,5885341
1/1/21,7231312,5553277,4805284
2/1/21,7822660,5882295,5617752
3/1/21,11852314,8750223,7645169
4/1/21,11632636,9123455,6628991
5/1/21,11375712,8761433,6962665
6/1/21,6321515,4557256,4452322
7/1/21,7512489,5093722,4722392
8/1/21,3954587,2686330,3102190
9/1/21,2769485,1910362,2405774
10/1/21,3995863,3102681,3435761
11/1/21,8341146,7034365,6453897
12/1/21,9127862,8359146,5912880
1/1/22,5778986,5372999,4124071
2/1/22,8382008,7962117,6205045
3/1/22,13045722,11614262,8476974
4/1/22,11890697,10065400,6870377
5/1/22,12833409,10150913,7779324
6/1/22,11842624,9590565,6943793
7/1/22,12019600,11129287,7332966
8/1/22,13095346,12361088,8338393
9/1/22,12936260,11791504,7472155
10/1/22,12909284,12080170,8156542
11/1/22,13072188,12137205,8312554
12/1/22,11867965,10945095,7434002
1/1/23,10109375,12245668,7090984
2/1/23,12831622,12894448,8608284
3/1/23,16527142,15292063,10301621
4/1/23,13288137,12402173,8124564
5/1/23,15312507,12760569,9848630
6/1/23,13115087,11602791,8635816
