city,center_lat,center_long,network_length
Adelaide,-34.9212657726,138.577492474,4773959
Belfast,54.600091000000006,-5.93041,673800
Berlin,52.5190044482,13.4029136992,8986014
Bordeaux,44.8412042216,-0.5750541222,1625984
Brisbane,-27.4579920361,153.0225825521,6492039
Canberra,-35.2766620388,149.1253683622,2096552
Detroit,42.3699604575,-83.0807245214,1611218
Dublin,53.3496878045,-6.2565613870000005,2832518
Grenoble,45.17717540060001,5.7227744098,806106
Helsinki,60.173256181300005,24.9408571473,4557180
Kuopio,62.8944693649,27.6807300896,394163
Lisbon,38.7095615614,-9.1419982897,4161758
Luxembourg,49.6111456782,6.132857678200001,3343826
Melbourne,-37.849344983,145.0792718326,10812241
Nantes,47.2133200528,-1.5516419489,1209034
Palermo,47.2133200528,-1.5516419489,1209034
Paris,48.8619266629,2.3519030802,8866260
Prague,50.0845538796,14.4310746059,5390088
Rennes,48.1079011008,-1.6749263232,1061745
Rome,41.8962589762,12.4853168076,4101470
Sydney,-33.8269177663,151.064341894,14989660
Toulouse,43.6021045168,1.4428450287,1551485
Turku,60.4491278151,22.2671054796,885656
Venice,45.4882377088,12.2416314485,1814553
Winnipeg,49.881858226000006,-97.135217402,1557934
